Neighborhood,Latitude,Longitude
Cantonment,12.994350000000054,77.59839000000005
British Raj,12.966180000000065,77.58690000000007
Richmond Town,12.962330000000065,77.60123000000004
Austin Town,12.963480000000061,77.61297000000008
Murphy Town,12.980030000000056,77.62776000000008
Fraser Town,12.998940000000061,77.61276000000004
Cox Town,12.995940000000076,77.62644000000006
Domlur,12.943290000000047,77.65602000000007
 ,12.966180000000065,77.58690000000007
HAL,12.960930000000076,77.66419000000008
Indiranagar,13.030060000000049,77.49526000000003
 ,12.966180000000065,77.58690000000007
100 Feet Road,12.908585406663308,77.57026481360015
Rajajinagar,13.005440000000021,77.55693000000008
Malleswaram,13.00632005596653,77.56839983128529
 ,12.966180000000065,77.58690000000007
Pete,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Kempe Gowda I,12.975498768188668,77.52385771447123
Chickpet,12.970140000000072,77.57589000000007
K. R. Market,12.95989017880979,77.57431243116255
Avenue Road,12.969388412598315,77.57950705966006
Sadashivanagar,13.014830000000075,77.57771000000008
Anugraha,12.961200000000076,77.51071000000007
Seshadripuram,12.993550000000027,77.57988000000006
Shivajinagar,12.987180000000023,77.60398000000004
 ,12.966180000000065,77.58690000000007
Russell Market,12.985070000000064,77.60551000000004
Bangalore Cantonment railway station,12.993430000000046,77.59786000000008
Ulsoor,12.989080000000058,77.62795000000006
 ,12.966180000000065,77.58690000000007
Ulsoor Lake,12.985830000000021,77.62151000000006
M G Road,12.742312891049933,77.48822554745456
Vasanth Nagar,12.99105000000003,77.58855000000005
Bangalore Palace,12.999140000000068,77.59220000000005
Cunningham Road,12.982207656336067,77.59892056740537
Edit,12.911360000000059,77.65104000000008
 ,12.966180000000065,77.58690000000007
 ,12.966180000000065,77.58690000000007
Bellandur,12.927340000000072,77.67169000000007
 ,12.966180000000065,77.58690000000007
Outer Ring Road,12.949320000000057,77.69919000000004
Bellandur Lake,12.943370000000073,77.66421000000008
CV Raman Nagar,12.987150000000042,77.66388000000006
 ,12.966180000000065,77.58690000000007
Bagmane Tech Park,12.979930000000024,77.65646000000004
